Common Name,Kingdom,Phylum,Class,Order,Family,Genus,Conservation Status
Aardvark,Animalia,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Least Concern (IUCN 3.1)[1]
Aardwolf,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,"ProtelesI. Geoffroy Saint-Hilaire, 1824",Least Concern (IUCN 3.1)[nb 1]
African elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,"LoxodontaAnonymous, 1827[1]",Vulnerable (IUCN 3.1)[2]
Tree pangolin,Animalia,Chordata,Mammalia,Pholidota,Manidae,Phataginus,Endangered (IUCN 3.1)[2]
Alligator,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,"AlligatorCuvier, 1807",nan
Alpaca,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna,Domesticated
Anemone,Plantae,nan,nan,Ranunculales,Ranunculaceae,AnemoneL.,nan
Anteater,Animalia,Chordata,Mammalia,Pilosa,nan,nan,nan
Antelope,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,nan,nan
Ape,Animalia,Chordata,Mammalia,Primates,nan,nan,nan
Armadillo,Animalia,Chordata,Mammalia,Cingulata,nan,nan,nan
Arthropod,Animalia,"Arthropodavon Siebold, 1848[1]",nan,nan,nan,nan,nan
Asian elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Endangered (IUCN 3.1)[3]
Aye-aye,Animalia,Chordata,Mammalia,Primates,"Family: Cheiromyidae I. Geoffroy St. Hilaire, 1851 Chiromyidae Bonaparte, 1850 Genus: Aye-aye Lacépède, 1799 Cheiromys G. Cuvier, 1817 Cheyromys É. Geoffroy, 1803 Chiromys Illiger, 1811 Myslemur Anon. [?de Blainville], 1846 Myspithecus de Blainville, 1839 Psilodactylus Oken, 1816 Scolecophagus É. Geoffroy, 1795 Species: daubentonii Shaw, 1800 laniger G. Grandidier, 1930 psilodactylus Schreber, 1800","Family: Cheiromyidae I. Geoffroy St. Hilaire, 1851 Chiromyidae Bonaparte, 1850 Genus: Aye-aye Lacépède, 1799 Cheiromys G. Cuvier, 1817 Cheyromys É. Geoffroy, 1803 Chiromys Illiger, 1811 Myslemur Anon. [?de Blainville], 1846 Myspithecus de Blainville, 1839 Psilodactylus Oken, 1816 Scolecophagus É. Geoffroy, 1795 Species: daubentonii Shaw, 1800 laniger G. Grandidier, 1930 psilodactylus Schreber, 1800",Endangered (IUCN 3.1)[1]
Baboon,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,"PapioErxleben, 1777",nan
Badger,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,nan,nan
Bandicoot,nan,nan,nan,nan,nan,nan,nan
Bat,Animalia,Chordata,Mammalia,"ChiropteraBlumenbach, 1779",nan,nan,nan
Pogona,Animalia,Chordata,Reptilia,Squamata,Agamidae,"PogonaStorr, 1982[1]",nan
Beaver,Animalia,Chordata,Mammalia,Rodentia,Castoridae,"CastorLinnaeus, 1758",nan
Beluga whale,Animalia,Chordata,Mammalia,Artiodactyla,Monodontidae,"DelphinapterusLacépède, 1804",Least Concern (IUCN 3.1)[2]
Bengal tiger,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Endangered (IUCN 3.1)[1]
Bighorn sheep,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Least Concern (IUCN 3.1)[1]
Goat,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Domesticated
Bird,Animalia,Chordata,"AvesLinnaeus, 1758[2]",nan,nan,nan,nan
Bison,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,"BisonHamilton Smith, 1827",nan
Black bear,nan,nan,nan,nan,nan,nan,nan
Western black rhinoceros,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,Extinct (2011) (IUCN 3.1)[1]
Howler monkey,Animalia,Chordata,Mammalia,Primates,Atelidae,"AlouattaLacepede, 1799",nan
Black rhinoceros,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,"DicerosGray, 1821",Critically Endangered (IUCN 3.1)[2]
Blacktip reef shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Near Threatened (IUCN 3.1)[1]
Blue shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,"PrionaceCantor, 1849",Near Threatened (IUCN 3.1)[2]
Blue whale,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,Endangered (IUCN 3.1)[1]
Wild boar,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Least Concern (IUCN 3.1)[1]
Bobcat,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Least Concern (IUCN 3.1)[1]
Bonobo,Animalia,Chordata,Mammalia,Primates,Hominidae,Pan,Endangered (IUCN 3.1)[2]
Bottlenose dolphin,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,"TursiopsGervais, 1855",nan
Bottlenose whale,Animalia,Chordata,Mammalia,Artiodactyla,Ziphiidae,"HyperoodonLacépède, 1804",nan
Brown bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Least Concern (IUCN 3.1)[1]
Buffalo,nan,nan,nan,nan,nan,nan,nan
Bull,nan,nan,nan,nan,nan,nan,nan
American bullfrog,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Least Concern (IUCN 3.1)[1]
Dracaena (lizard),Animalia,Chordata,Reptilia,Squamata,Teiidae,ParadracaenaDaudin 1802,nan
Camel,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,"CamelusLinnaeus, 1758",nan
Capuchin monkey,Animalia,Chordata,Mammalia,Primates,Cebidae,nan,nan
Capybara,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,Least Concern (IUCN 3.1)[1]
Reindeer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,"RangiferCharles Hamilton Smith, 1827",Vulnerable (IUCN 3.1)[2]
Cat,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Domesticated
Cattle,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Domesticated
Cheetah,Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,Vulnerable (IUCN 3.1)[1]
Chimpanzee,Animalia,Chordata,Mammalia,Primates,Hominidae,Pan,Endangered (IUCN 3.1)[3]
Chinchilla,Animalia,Chordata,Mammalia,Rodentia,Chinchillidae,"ChinchillaBennett, 1829",Endangered (IUCN3)[3][4]
Chipmunk,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,nan,nan
Common dolphin,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,"DelphinusLinnaeus, 1758",nan
Harbor seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,Least Concern (IUCN 3.1)[1]
Coral,nan,nan,nan,nan,nan,nan,nan
Cougar,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Least Concern (IUCN 3.1)[1]
Cattle,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Domesticated
Coyote,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Least Concern (IUCN 3.1)[2]
Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,nan,nan
Crustacean,Animalia,Arthropoda,nan,nan,nan,nan,nan
Poison dart frog,Animalia,Chordata,Amphibia,Anura,"DendrobatidaeCope, 1865",nan,nan
Deer,Animalia,Chordata,Mammalia,Artiodactyla,"CervidaeGoldfuss, 1820",nan,nan
Common degu,Animalia,Chordata,Mammalia,Rodentia,Octodontidae,Octodon,Least Concern (IUCN 3.1)[1]
Dik-dik,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,"Madoqua(Ogilby, 1837)",nan
Dingo,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,nan
Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Domesticated
Squalidae,Animalia,Chordata,Chondrichthyes,Squaliformes,"SqualidaeBonaparte, 1834",nan,nan
Dolphin,Animalia,Chordata,Mammalia,Artiodactyla,nan,nan,nan
Donkey,nan,nan,nan,nan,nan,nan,nan
Dormouse,Animalia,Chordata,Mammalia,Rodentia,"GliridaeMuirhead in Brewster, 1819[1]",nan,nan
Draft horse,nan,nan,nan,nan,nan,nan,nan
Platypus,Animalia,Chordata,Mammalia,Monotremata,Ornithorhynchidae,"OrnithorhynchusBlumenbach, 1800",Near Threatened (IUCN 3.1)[2]
Dugong,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,"DugongLacépède, 1799[3]",Vulnerable (IUCN 3.1)[2]
Dusky shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Endangered (IUCN 3.1)[1]
Elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,nan,nan
Elephant seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,"MiroungaGray, 1827",nan
Elk,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,Least Concern (IUCN 3.1)[1]
Stoat,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Least Concern (IUCN 3.1)[1]
Eurasian lynx,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Least Concern (IUCN 3.1)[2]
Ferret,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Domesticated
Fish,Animalia,Chordata,nan,nan,nan,nan,nan
Florida panther,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,nan
Pteropus,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,"PteropusBrisson, 1762",nan
Fox,Animalia,Chordata,Mammalia,Carnivora,Canidae,nan,nan
Saltwater crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,Least Concern (IUCN 2.3)[1]
Frog,Animalia,Chordata,Amphibia,"AnuraDuméril, 1806 (as Anoures)",nan,nan,nan
Fur seal,Animalia,Chordata,Mammalia,Carnivora,Otariidae,nan,nan
Galapagos land iguana,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Conolophus,Vulnerable (IUCN 3.1)[1]
Galapagos shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Least Concern (IUCN 3.1)[1]
Galápagos tortoise,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Least Concern (IUCN 3.1)[1]
Gazelle,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,"GazellaBlainville, 1816",nan
Gecko,Animalia,Chordata,Reptilia,Squamata,nan,nan,nan
Giant anteater,Animalia,Chordata,Mammalia,Pilosa,Myrmecophagidae,MyrmecophagaLinnaeus 1758 [3],Vulnerable (IUCN 3.1)[2]
Giant panda,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ailuropoda,Vulnerable (IUCN 3.1)[1]
Gibbon,Animalia,Chordata,Mammalia,Primates,"HylobatidaeGray, 1870",nan,nan
Giraffe,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,"GiraffaBrisson, 1772",Vulnerable (IUCN 3.1)[1]
Goat,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Domesticated
Gopher,Animalia,Chordata,Mammalia,Rodentia,"GeomyidaeBonaparte, 1845",nan,nan
Gorilla,Animalia,Chordata,Mammalia,Primates,Hominidae,"GorillaI. Geoffroy Saint-Hilaire, 1852",nan
Gray fox,Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon,Least Concern (IUCN 3.1)[1]
Sand tiger shark,Animalia,Chordata,Chondrichthyes,Lamniformes,Odontaspididae,Carcharias,Vulnerable (IUCN 3.1)[1]
Grey reef shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Near Threatened (IUCN 3.1)[1]
Gray whale,Animalia,Chordata,Mammalia,Artiodactyla,Eschrichtiidae,Eschrichtius,Least Concern (IUCN 3.1)[3] (Eastern North Pacific population)
Great white shark,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,"CarcharodonA. Smith, 1838",Vulnerable (IUCN 3.1)[2]
Poison dart frog,Animalia,Chordata,Amphibia,Anura,"DendrobatidaeCope, 1865",nan,nan
Green sea turtle,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,"CheloniaBrongniart, 1800",Endangered (IUCN 3.1)[1]
Grizzly bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Least Concern (IUCN 3.1)
Groundhog,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Least Concern (IUCN 3.1)[1]
Guinea pig,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,Domesticated
Northern hairy-nosed wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,"LasiorhinusGray, 1863",Critically Endangered (IUCN 3.1)[2]
Hammerhead shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,"SphyrnidaeT. N. Gill, 1872",nan,nan
Harbour porpoise,Animalia,Chordata,Mammalia,Artiodactyla,Phocoenidae,Phocoena,Least Concern (IUCN 3.1)[3]
Harbor seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,Least Concern (IUCN 3.1)[1]
Hare,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,"LepusLinnaeus, 1758",nan
Harp seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,"PagophilusGray, 1844",Least Concern (IUCN 3.1)[1]
Hawaiian monk seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Neomonachus,Endangered (IUCN 3.1)[1]
Hedgehog,Animalia,Chordata,Mammalia,Eulipotyphla,Erinaceidae,nan,nan
Hippopotamus,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,Vulnerable (IUCN 3.1)[1]
Horn shark,Animalia,Chordata,Chondrichthyes,Heterodontiformes,Heterodontidae,Heterodontus,Data Deficient (IUCN 3.1)[1]
Horse,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Domesticated
Howler monkey,Animalia,Chordata,Mammalia,Primates,Atelidae,"AlouattaLacepede, 1799",nan
Humpback whale,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,"MegapteraGray, 1846",Least Concern (IUCN 3.1)[3]
Hyena,Animalia,Chordata,Mammalia,Carnivora,"HyaenidaeGray, 1821",nan,nan
Hyrax,Animalia,Chordata,Mammalia,"HyracoideaHuxley, 1869",nan,nan,nan
Iguana,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"IguanaLaurenti, 1768",nan
Iguanodon,Animalia,Chordata,nan,†Ornithischia,†Iguanodontidae,"†IguanodonMantell, 1825[1]",nan
Impala,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,"AepycerosSundevall, 1847",Least Concern (IUCN 3.1)[1]
Insect,Animalia,Arthropoda,"InsectaLinnaeus, 1758",nan,nan,nan,nan
Irrawaddy dolphin,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Orcaella,Endangered (IUCN 3.1)[1]
Jackal,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,nan
Hare,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,"LepusLinnaeus, 1758",nan
Jaguar,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Near Threatened (IUCN 3.1)[1]
Jellyfish,Animalia,Cnidaria,nan,nan,nan,nan,nan
Kangaroo,Animalia,Chordata,Mammalia,Diprotodontia,"MacropodidaeGray, 1821",nan,nan
Kermode bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,nan
Killer whale,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,"OrcinusFitzinger, 1860[5]",Data Deficient (IUCN 3.1)[3]
Koala,Animalia,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,Vulnerable (IUCN 3.1)[1]
Komodo dragon,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Vulnerable (IUCN 2.3)[2]
Kookaburra,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,"DaceloLeach, 1815",nan
Lamb,nan,nan,nan,nan,nan,nan,nan
Lancelet,Animalia,Chordata,"LeptocardiiMüller, 1845","AmphioxiformesObscure, 1886",nan,nan,nan
Least weasel,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Least Concern (IUCN 3.1)[1]
Leatherback sea turtle,Animalia,Chordata,Reptilia,Testudines,Dermochelyidae,"DermochelysBlainville, 1816[3]",Vulnerable (IUCN 3.1)[1]
Lemming,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,nan,nan
Lemon shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Negaprion,Near Threatened (IUCN 3.1)[2]
Lemur,Animalia,Chordata,Mammalia,Primates,nan,nan,nan
Leopard,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Vulnerable (IUCN 3.1)[3]
Common leopard gecko,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,Eublepharis,Least Concern (IUCN 3.1)
Leopard seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,"HydrurgaGistel, 1848",Least Concern (IUCN 3.1)[2]
Leopard shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Triakis,Least Concern (IUCN 3.1)[1]
Lion,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Vulnerable (IUCN 3.1)[2]
